IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.87.246,8443,true,SIN,Asia Pacific,Singapore,241 ms,4943 kB/s
47.236.169.15,2053,true,SIN,Asia Pacific,Singapore,229 ms,4900 kB/s
47.236.117.48,2096,true,SIN,Asia Pacific,Singapore,231 ms,4879 kB/s
47.236.165.25,2083,true,SIN,Asia Pacific,Singapore,223 ms,4873 kB/s
47.236.116.182,2096,true,SIN,Asia Pacific,Singapore,237 ms,4826 kB/s
47.236.87.246,2096,true,SIN,Asia Pacific,Singapore,220 ms,4821 kB/s
8.222.162.45,2087,true,SIN,Asia Pacific,Singapore,244 ms,4786 kB/s
47.236.158.158,2053,true,SIN,Asia Pacific,Singapore,226 ms,4760 kB/s
47.236.10.100,8443,true,SIN,Asia Pacific,Singapore,214 ms,4759 kB/s
47.236.104.11,2096,true,SIN,Asia Pacific,Singapore,239 ms,4727 kB/s
8.219.140.63,8443,true,SIN,Asia Pacific,Singapore,216 ms,4687 kB/s
8.219.194.170,2096,true,SIN,Asia Pacific,Singapore,217 ms,4651 kB/s
47.236.144.208,2096,true,SIN,Asia Pacific,Singapore,229 ms,4632 kB/s
47.236.97.90,2053,true,SIN,Asia Pacific,Singapore,235 ms,4594 kB/s
47.236.10.100,2083,true,SIN,Asia Pacific,Singapore,245 ms,4568 kB/s
8.219.170.180,2096,true,SIN,Asia Pacific,Singapore,238 ms,4523 kB/s
47.236.125.62,2096,true,NRT,Asia Pacific,Tokyo,306 ms,4514 kB/s
8.222.162.45,2083,true,SIN,Asia Pacific,Singapore,231 ms,4501 kB/s
47.236.10.100,2087,true,SIN,Asia Pacific,Singapore,224 ms,4467 kB/s
47.236.83.239,2096,true,SIN,Asia Pacific,Singapore,222 ms,4430 kB/s
47.236.149.107,2083,true,SIN,Asia Pacific,Singapore,220 ms,4418 kB/s
8.219.140.63,2087,true,SIN,Asia Pacific,Singapore,228 ms,4414 kB/s
47.236.117.48,2083,true,SIN,Asia Pacific,Singapore,226 ms,4371 kB/s
47.236.75.113,2096,true,SIN,Asia Pacific,Singapore,209 ms,4370 kB/s
47.236.172.95,2087,true,SIN,Asia Pacific,Singapore,221 ms,4362 kB/s
47.236.174.206,2087,true,SIN,Asia Pacific,Singapore,231 ms,4348 kB/s
47.236.253.41,8443,true,SIN,Asia Pacific,Singapore,218 ms,4316 kB/s
47.236.158.158,2083,true,SIN,Asia Pacific,Singapore,248 ms,4308 kB/s
47.236.93.176,2083,true,SIN,Asia Pacific,Singapore,225 ms,4272 kB/s
47.236.174.206,2083,true,SIN,Asia Pacific,Singapore,219 ms,4255 kB/s
47.236.172.95,8443,true,SIN,Asia Pacific,Singapore,246 ms,4246 kB/s
47.236.97.90,2087,true,SIN,Asia Pacific,Singapore,237 ms,4210 kB/s
47.236.172.71,2053,true,SIN,Asia Pacific,Singapore,226 ms,4174 kB/s
47.236.7.106,8443,true,SIN,Asia Pacific,Singapore,216 ms,4147 kB/s
8.219.209.14,2083,true,SIN,Asia Pacific,Singapore,228 ms,4142 kB/s
47.236.254.120,8443,true,SIN,Asia Pacific,Singapore,213 ms,4108 kB/s
47.236.174.206,2096,true,SIN,Asia Pacific,Singapore,221 ms,4092 kB/s
47.236.150.13,8443,true,SIN,Asia Pacific,Singapore,218 ms,4076 kB/s
47.236.171.205,2083,true,SIN,Asia Pacific,Singapore,215 ms,4074 kB/s
47.236.254.120,2096,true,SIN,Asia Pacific,Singapore,210 ms,4058 kB/s
8.222.214.13,443,true,SIN,Asia Pacific,Singapore,224 ms,4031 kB/s
47.236.97.90,2083,true,SIN,Asia Pacific,Singapore,236 ms,4000 kB/s
8.219.209.14,2087,true,SIN,Asia Pacific,Singapore,217 ms,3987 kB/s
8.219.93.5,2083,true,SIN,Asia Pacific,Singapore,225 ms,3969 kB/s
47.236.83.239,2087,true,SIN,Asia Pacific,Singapore,234 ms,3928 kB/s
47.236.180.51,8443,true,SIN,Asia Pacific,Singapore,217 ms,3907 kB/s
47.236.144.48,2096,true,SIN,Asia Pacific,Singapore,224 ms,3884 kB/s
47.76.94.15,2087,true,HKG,Asia Pacific,Hong Kong,57 ms,3854 kB/s
47.236.10.100,2096,true,SIN,Asia Pacific,Singapore,236 ms,3848 kB/s
47.236.172.95,2053,true,SIN,Asia Pacific,Singapore,213 ms,3846 kB/s
8.222.214.13,8443,true,SIN,Asia Pacific,Singapore,224 ms,3839 kB/s
8.219.194.170,2087,true,SIN,Asia Pacific,Singapore,237 ms,3800 kB/s
8.222.197.251,2083,true,SIN,Asia Pacific,Singapore,226 ms,3790 kB/s
47.236.97.90,8443,true,SIN,Asia Pacific,Singapore,237 ms,3778 kB/s
8.222.136.247,2087,true,SIN,Asia Pacific,Singapore,267 ms,3759 kB/s
47.236.167.231,8443,true,SIN,Asia Pacific,Singapore,219 ms,3753 kB/s
47.236.7.106,2087,true,SIN,Asia Pacific,Singapore,242 ms,3737 kB/s
47.236.87.246,2087,true,SIN,Asia Pacific,Singapore,223 ms,3711 kB/s
47.236.150.13,2053,true,SIN,Asia Pacific,Singapore,242 ms,3668 kB/s
47.236.169.141,2083,true,SIN,Asia Pacific,Singapore,222 ms,3645 kB/s
47.236.93.176,8443,true,SIN,Asia Pacific,Singapore,225 ms,3635 kB/s
8.222.214.13,2096,true,SIN,Asia Pacific,Singapore,230 ms,3626 kB/s
47.236.169.15,2087,true,SIN,Asia Pacific,Singapore,244 ms,3607 kB/s
47.236.180.51,2087,true,SIN,Asia Pacific,Singapore,222 ms,3591 kB/s
8.222.162.45,2053,true,SIN,Asia Pacific,Singapore,249 ms,3564 kB/s
47.236.174.206,2053,true,SIN,Asia Pacific,Singapore,226 ms,3560 kB/s
8.222.197.251,2053,true,SIN,Asia Pacific,Singapore,248 ms,3540 kB/s
47.254.151.57,443,true,FRA,Europe,Frankfurt,282 ms,3509 kB/s
8.222.136.247,2083,true,SIN,Asia Pacific,Singapore,277 ms,3455 kB/s
47.236.180.51,2053,true,SIN,Asia Pacific,Singapore,225 ms,3436 kB/s
47.236.104.11,2087,true,SIN,Asia Pacific,Singapore,233 ms,3418 kB/s
8.222.197.251,2087,true,SIN,Asia Pacific,Singapore,227 ms,3400 kB/s
8.219.170.180,2087,true,SIN,Asia Pacific,Singapore,217 ms,3398 kB/s
8.222.162.45,8443,true,SIN,Asia Pacific,Singapore,232 ms,3381 kB/s
47.236.149.107,8443,true,SIN,Asia Pacific,Singapore,215 ms,3362 kB/s
8.222.136.247,2053,true,SIN,Asia Pacific,Singapore,275 ms,3326 kB/s
8.211.13.88,443,true,FRA,Europe,Frankfurt,259 ms,3320 kB/s
47.236.104.98,8443,true,SIN,Asia Pacific,Singapore,236 ms,3187 kB/s
47.236.254.120,2083,true,SIN,Asia Pacific,Singapore,224 ms,3138 kB/s
8.219.140.63,2053,true,SIN,Asia Pacific,Singapore,223 ms,3126 kB/s
8.219.140.63,443,true,SIN,Asia Pacific,Singapore,236 ms,3122 kB/s
8.219.93.5,2096,true,SIN,Asia Pacific,Singapore,241 ms,3116 kB/s
47.236.171.205,2096,true,SIN,Asia Pacific,Singapore,221 ms,3111 kB/s
47.236.123.133,2096,true,SIN,Asia Pacific,Singapore,224 ms,3111 kB/s
47.236.180.51,2083,true,SIN,Asia Pacific,Singapore,242 ms,3089 kB/s
47.236.125.62,2053,true,NRT,Asia Pacific,Tokyo,291 ms,3073 kB/s
47.236.104.98,2083,true,SIN,Asia Pacific,Singapore,228 ms,3063 kB/s
8.219.170.180,2053,true,SIN,Asia Pacific,Singapore,236 ms,3042 kB/s
8.219.140.63,2083,true,SIN,Asia Pacific,Singapore,225 ms,2952 kB/s
47.236.116.182,443,true,SIN,Asia Pacific,Singapore,219 ms,2950 kB/s
8.222.197.251,8443,true,SIN,Asia Pacific,Singapore,220 ms,2950 kB/s
47.236.253.41,2053,true,SIN,Asia Pacific,Singapore,232 ms,2949 kB/s
47.236.167.231,2053,true,SIN,Asia Pacific,Singapore,246 ms,2927 kB/s
47.236.104.98,2087,true,SIN,Asia Pacific,Singapore,216 ms,2898 kB/s
47.236.85.11,8443,true,SIN,Asia Pacific,Singapore,207 ms,2858 kB/s
47.236.14.118,443,true,SIN,Asia Pacific,Singapore,228 ms,2833 kB/s
47.236.253.41,2096,true,SIN,Asia Pacific,Singapore,219 ms,2806 kB/s
8.219.170.180,2083,true,SIN,Asia Pacific,Singapore,224 ms,2793 kB/s
47.236.116.182,2053,true,SIN,Asia Pacific,Singapore,224 ms,2770 kB/s
47.236.202.91,2083,true,SIN,Asia Pacific,Singapore,225 ms,2768 kB/s
47.254.144.149,443,true,FRA,Europe,Frankfurt,285 ms,2734 kB/s
47.236.83.239,2053,true,SIN,Asia Pacific,Singapore,224 ms,2694 kB/s
8.219.140.63,2096,true,SIN,Asia Pacific,Singapore,237 ms,2677 kB/s
47.236.125.62,2087,true,NRT,Asia Pacific,Tokyo,287 ms,2658 kB/s
47.236.169.15,2096,true,SIN,Asia Pacific,Singapore,218 ms,2620 kB/s
47.236.38.38,443,true,SIN,Asia Pacific,Singapore,217 ms,2566 kB/s
47.236.7.106,443,true,SIN,Asia Pacific,Singapore,225 ms,2492 kB/s
47.236.144.156,2083,true,SIN,Asia Pacific,Singapore,227 ms,2489 kB/s
47.236.168.17,2087,true,SIN,Asia Pacific,Singapore,221 ms,2405 kB/s
8.219.215.214,8443,true,SIN,Asia Pacific,Singapore,219 ms,2355 kB/s
8.219.93.5,2087,true,SIN,Asia Pacific,Singapore,211 ms,2346 kB/s
47.236.167.231,2083,true,SIN,Asia Pacific,Singapore,246 ms,2130 kB/s
47.236.202.91,2096,true,SIN,Asia Pacific,Singapore,233 ms,2075 kB/s
47.236.5.223,2087,true,SIN,Asia Pacific,Singapore,238 ms,1906 kB/s
47.236.75.113,2083,true,SIN,Asia Pacific,Singapore,239 ms,1884 kB/s
47.236.113.184,443,true,SIN,Asia Pacific,Singapore,232 ms,1770 kB/s
47.236.172.95,2096,true,SIN,Asia Pacific,Singapore,252 ms,1766 kB/s
8.219.215.214,2053,true,SIN,Asia Pacific,Singapore,231 ms,1765 kB/s
47.236.7.106,2083,true,SIN,Asia Pacific,Singapore,234 ms,1756 kB/s
47.236.121.7,2083,true,SIN,Asia Pacific,Singapore,238 ms,1670 kB/s
8.209.104.198,443,true,FRA,Europe,Frankfurt,271 ms,1631 kB/s
8.211.12.121,443,true,FRA,Europe,Frankfurt,271 ms,1588 kB/s
47.236.169.141,2096,true,SIN,Asia Pacific,Singapore,233 ms,1587 kB/s
8.211.10.182,443,true,FRA,Europe,Frankfurt,262 ms,1545 kB/s
8.219.215.214,2083,true,SIN,Asia Pacific,Singapore,241 ms,1535 kB/s
47.236.169.15,2083,true,SIN,Asia Pacific,Singapore,227 ms,1491 kB/s
47.89.191.155,443,true,IAD,North America,Ashburn,247 ms,1487 kB/s
47.236.144.156,2053,true,SIN,Asia Pacific,Singapore,234 ms,1363 kB/s
47.236.116.182,2083,true,SIN,Asia Pacific,Singapore,219 ms,1338 kB/s
47.237.8.82,2053,true,SIN,Asia Pacific,Singapore,235 ms,1318 kB/s
47.236.202.91,2087,true,SIN,Asia Pacific,Singapore,227 ms,1317 kB/s
47.236.169.141,8443,true,SIN,Asia Pacific,Singapore,230 ms,1298 kB/s
8.219.194.170,2083,true,SIN,Asia Pacific,Singapore,248 ms,1257 kB/s
8.219.170.180,8443,true,SIN,Asia Pacific,Singapore,224 ms,1244 kB/s
8.219.194.170,2053,true,SIN,Asia Pacific,Singapore,243 ms,1136 kB/s
47.76.94.15,2053,true,HKG,Asia Pacific,Hong Kong,63 ms,1062 kB/s
8.211.7.113,443,true,FRA,Europe,Frankfurt,270 ms,918 kB/s
47.242.79.71,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,880 kB/s
47.236.254.120,2053,true,SIN,Asia Pacific,Singapore,217 ms,860 kB/s
47.237.8.82,2096,true,SIN,Asia Pacific,Singapore,234 ms,803 kB/s
8.222.214.13,2083,true,SIN,Asia Pacific,Singapore,230 ms,745 kB/s
47.76.94.15,2096,true,HKG,Asia Pacific,Hong Kong,68 ms,624 kB/s
8.211.11.93,443,true,FRA,Europe,Frankfurt,272 ms,560 kB/s
47.76.94.15,8443,true,HKG,Asia Pacific,Hong Kong,66 ms,548 kB/s
47.236.125.62,8443,true,NRT,Asia Pacific,Tokyo,297 ms,512 kB/s
47.236.172.71,2087,true,SIN,Asia Pacific,Singapore,225 ms,450 kB/s
8.222.225.193,443,true,SIN,Asia Pacific,Singapore,222 ms,412 kB/s
8.222.162.45,2096,true,SIN,Asia Pacific,Singapore,228 ms,352 kB/s
47.237.8.82,2083,true,SIN,Asia Pacific,Singapore,238 ms,342 kB/s
47.254.143.183,443,true,FRA,Europe,Frankfurt,281 ms,307 kB/s
47.236.75.113,2053,true,SIN,Asia Pacific,Singapore,218 ms,291 kB/s
47.236.169.141,2087,true,SIN,Asia Pacific,Singapore,255 ms,227 kB/s
47.76.94.15,2083,true,HKG,Asia Pacific,Hong Kong,66 ms,153 kB/s
47.236.158.158,2087,true,SIN,Asia Pacific,Singapore,250 ms,118 kB/s
47.254.66.75,443,true,SJC,North America,San Jose,170 ms,67 kB/s
47.254.66.75,80,true,SJC,North America,San Jose,174 ms,54 kB/s
47.236.167.231,2087,true,SIN,Asia Pacific,Singapore,226 ms,0 kB/s
47.236.253.41,2087,true,SIN,Asia Pacific,Singapore,247 ms,0 kB/s
47.236.202.91,2053,true,SIN,Asia Pacific,Singapore,235 ms,0 kB/s
47.236.172.95,2083,true,SIN,Asia Pacific,Singapore,257 ms,0 kB/s
8.222.214.13,2087,true,SIN,Asia Pacific,Singapore,218 ms,0 kB/s
47.236.117.48,2053,true,SIN,Asia Pacific,Singapore,247 ms,0 kB/s
47.236.144.208,2083,true,SIN,Asia Pacific,Singapore,220 ms,0 kB/s
8.219.194.170,8443,true,SIN,Asia Pacific,Singapore,219 ms,0 kB/s
47.236.125.62,2083,true,NRT,Asia Pacific,Tokyo,300 ms,0 kB/s
47.237.8.82,8443,true,SIN,Asia Pacific,Singapore,214 ms,0 kB/s
