IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.242.79.71,2053,true,HKG,Asia Pacific,Hong Kong,59 ms,8390 kB/s
47.242.79.71,2083,true,HKG,Asia Pacific,Hong Kong,60 ms,8025 kB/s
47.236.144.208,2053,true,SIN,Asia Pacific,Singapore,229 ms,7924 kB/s
47.236.158.158,2096,true,SIN,Asia Pacific,Singapore,234 ms,7350 kB/s
47.236.144.208,8443,true,SIN,Asia Pacific,Singapore,231 ms,7025 kB/s
47.236.166.131,2083,true,SIN,Asia Pacific,Singapore,227 ms,6572 kB/s
47.236.7.106,2096,true,SIN,Asia Pacific,Singapore,225 ms,6503 kB/s
47.242.79.71,2087,true,HKG,Asia Pacific,Hong Kong,67 ms,6501 kB/s
47.236.164.215,2087,true,SIN,Asia Pacific,Singapore,219 ms,6490 kB/s
47.236.164.215,2053,true,SIN,Asia Pacific,Singapore,245 ms,6296 kB/s
47.236.164.215,8443,true,SIN,Asia Pacific,Singapore,214 ms,6246 kB/s
47.236.144.48,2087,true,SIN,Asia Pacific,Singapore,211 ms,6193 kB/s
47.236.117.48,2087,true,SIN,Asia Pacific,Singapore,238 ms,5992 kB/s
47.236.144.196,2087,true,SIN,Asia Pacific,Singapore,220 ms,5910 kB/s
47.236.83.239,2083,true,SIN,Asia Pacific,Singapore,247 ms,5889 kB/s
47.236.149.107,2096,true,SIN,Asia Pacific,Singapore,219 ms,5861 kB/s
47.236.121.7,2053,true,SIN,Asia Pacific,Singapore,216 ms,5852 kB/s
47.236.144.196,8443,true,SIN,Asia Pacific,Singapore,215 ms,5839 kB/s
47.236.166.131,2087,true,SIN,Asia Pacific,Singapore,240 ms,5753 kB/s
47.236.116.182,8443,true,SIN,Asia Pacific,Singapore,235 ms,5632 kB/s
47.236.123.133,2053,true,SIN,Asia Pacific,Singapore,228 ms,5612 kB/s
47.236.149.107,2087,true,SIN,Asia Pacific,Singapore,216 ms,5602 kB/s
47.236.93.176,2087,true,SIN,Asia Pacific,Singapore,240 ms,5589 kB/s
47.236.75.113,2087,true,SIN,Asia Pacific,Singapore,217 ms,5540 kB/s
47.236.202.91,8443,true,SIN,Asia Pacific,Singapore,234 ms,5422 kB/s
47.236.104.11,2083,true,SIN,Asia Pacific,Singapore,229 ms,5396 kB/s
47.236.121.7,2087,true,SIN,Asia Pacific,Singapore,239 ms,5382 kB/s
47.236.166.131,2096,true,SIN,Asia Pacific,Singapore,230 ms,5379 kB/s
47.236.123.133,2083,true,SIN,Asia Pacific,Singapore,232 ms,5279 kB/s
47.236.180.51,2096,true,SIN,Asia Pacific,Singapore,229 ms,5279 kB/s
47.236.144.196,2083,true,SIN,Asia Pacific,Singapore,239 ms,5274 kB/s
47.236.144.156,8443,true,SIN,Asia Pacific,Singapore,214 ms,5236 kB/s
47.236.104.98,443,true,SIN,Asia Pacific,Singapore,232 ms,5160 kB/s
47.236.123.133,2087,true,SIN,Asia Pacific,Singapore,221 ms,5151 kB/s
47.236.164.215,443,true,SIN,Asia Pacific,Singapore,221 ms,5093 kB/s
47.236.149.107,2053,true,SIN,Asia Pacific,Singapore,248 ms,5084 kB/s
47.236.171.205,2053,true,SIN,Asia Pacific,Singapore,229 ms,5084 kB/s
47.236.5.223,2083,true,SIN,Asia Pacific,Singapore,218 ms,5062 kB/s
47.236.121.7,2096,true,SIN,Asia Pacific,Singapore,229 ms,4953 kB/s
47.236.150.13,2096,true,SIN,Asia Pacific,Singapore,227 ms,4949 kB/s
