IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.243.5.154,2052,FALSE,HKG,Asia Pacific,Hong Kong,64 ms,21692 kB/s
47.76.159.146,2082,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,21258 kB/s
47.76.159.146,80,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,17382 kB/s
8.218.188.129,80,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,16951 kB/s
8.217.149.28,2052,FALSE,HKG,Asia Pacific,Hong Kong,62 ms,13457 kB/s
8.218.181.189,2095,FALSE,HKG,Asia Pacific,Hong Kong,57 ms,13301 kB/s
8.218.207.169,8880,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,13094 kB/s
8.218.65.237,8880,FALSE,HKG,Asia Pacific,Hong Kong,68 ms,12759 kB/s
47.238.6.102,80,FALSE,HKG,Asia Pacific,Hong Kong,65 ms,12359 kB/s
47.238.6.102,8080,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,12084 kB/s
8.217.149.28,8880,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,11983 kB/s
8.218.65.237,80,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,11794 kB/s
8.217.239.116,2052,FALSE,HKG,Asia Pacific,Hong Kong,63 ms,11399 kB/s
8.210.107.246,2095,FALSE,HKG,Asia Pacific,Hong Kong,63 ms,11233 kB/s
8.218.201.73,8080,FALSE,HKG,Asia Pacific,Hong Kong,58 ms,10963 kB/s
47.76.159.146,2052,FALSE,HKG,Asia Pacific,Hong Kong,57 ms,10654 kB/s
47.243.234.9,2052,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,10639 kB/s
47.243.139.85,2052,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,10257 kB/s
47.242.36.78,2052,FALSE,HKG,Asia Pacific,Hong Kong,61 ms,9823 kB/s
47.237.95.140,8880,FALSE,SIN,Asia Pacific,Singapore,241 ms,9681 kB/s
47.243.234.9,2086,FALSE,HKG,Asia Pacific,Hong Kong,58 ms,9377 kB/s
